name,selling_price,km_driven,fuel,transmission,owner,mileage,engine,seats,year
Maruti Swift Dzire VDI,480000,30000,Diesel,Manual,First Owner,26.59 kmpl,1248 CC,5,2015
Maruti Swift Dzire AMT ZDI,650000,50000,Diesel,Automatic,Second Owner,26.59 kmpl,1248 CC,5,2016
Maruti Swift Dzire VDI,480000,80000,Diesel,Manual,First Owner,23.4 kmpl,1248 CC,5,2013
Hyundai i20 Asta Option 1.4 CRDi,700000,40000,Diesel,Manual,First Owner,22.54 kmpl,1396 CC,5,2016
Maruti Ertiga VDI,650000,110000,Diesel,Manual,Third Owner,20.77 kmpl,1248 CC,7,2015
Hyundai Creta 1.6 CRDi SX Plus Dual Tone,1300000,48000,Diesel,Manual,Second Owner,19.67 kmpl,1582 CC,5,2015
Volkswagen Jetta 2.0L TDI Highline AT,1350000,97000,Diesel,Automatic,First Owner,16.96 kmpl,1968 CC,5,2016
Volkswagen Vento 1.5 TDI Highline AT,1000000,60000,Diesel,Automatic,First Owner,22.15 kmpl,1498 CC,5,2016
Mercedes-Benz M-Class ML 350 4Matic,1700000,110000,Diesel,Automatic,Third Owner,0.0 kmpl,2987 CC,5,2011
Toyota Yaris V CVT BSIV,1080000,12800,Petrol,Automatic,First Owner,17.8 kmpl,1496 CC,5,2018
Hyundai EON D Lite,170000,40000,Petrol,Manual,First Owner,21.1 kmpl,814 CC,5,2012
Maruti Swift DDiS VDI,610000,49000,Diesel,Manual,First Owner,28.4 kmpl,1248 CC,5,2017
Maruti Ritz VXi,350000,25000,Petrol,Manual,First Owner,18.5 kmpl,1197 CC,5,2014
Maruti Alto 800 LXI,260000,65000,Petrol,Manual,Second Owner,22.74 kmpl,796 CC,5,2016
Fiat Linea 1.3 Multijet Emotion,700000,20000,Diesel,Manual,First Owner,20.4 kmpl,1248 CC,5,2015
Volkswagen Polo 2015-2019 1.0 MPI Highline Plus,678000,17000,Petrol,Manual,First Owner,18.78 kmpl,999 CC,5,2018
Maruti SX4 S Cross 2015-2017 DDiS 200 Zeta,800000,15000,Diesel,Manual,First Owner,23.65 kmpl,1248 CC,5,2015
Toyota Etios GD,400000,120000,Diesel,Manual,Second Owner,23.59 kmpl,1364 CC,5,2014
Hyundai i20 Magna,300000,49000,Petrol,Manual,First Owner,18.5 kmpl,1197 CC,5,2010
Hyundai i20 2015-2017 Magna 1.2,520000,29000,Petrol,Manual,First Owner,18.6 kmpl,1197 CC,5,2016
Nissan Terrano XV D Premium AMT,850000,55000,Diesel,Automatic,First Owner,19.61 kmpl,1461 CC,5,2017
Mahindra Marazzo M8,1460000,5000,Diesel,Manual,First Owner,17.3 kmpl,1497 CC,7,2019
Tata Nexon 1.5 Revotorq XZ Plus,830000,35000,Diesel,Manual,First Owner,21.5 kmpl,1497 CC,5,2017
Datsun GO T Option BSIV,430000,5000,Petrol,Manual,Second Owner,20.63 kmpl,1198 CC,5,2018
Ford EcoSport 1.5 TDCi Platinum Edition BSIV,850000,60000,Diesel,Manual,First Owner,22.77 kmpl,1498 CC,5,2017
Maruti Swift Dzire ZXI,650000,70000,Petrol,Manual,First Owner,20.85 kmpl,1197 CC,5,2017
Hyundai Verna CRDi,120000,120000,Diesel,Manual,Second Owner,16.8 kmpl,1493 CC,5,2008
Mahindra TUV 300 T8,730000,65100,Diesel,Manual,Second Owner,18.49 kmpl,1493 CC,7,2016
Maruti Ignis 1.2 AMT Delta BSIV,525000,20000,Petrol,Automatic,First Owner,20.89 kmpl,1197 CC,5,2019
Hyundai i20 Active 1.4 SX,600000,108000,Diesel,Manual,First Owner,21.19 kmpl,1396 CC,5,2015
Maruti Swift LXI,500000,15000,Petrol,Manual,First Owner,21.21 kmpl,1197 CC,5,2019
Hyundai Santro Xing GLS,150000,77000,Petrol,Manual,First Owner,17.92 kmpl,1086 CC,5,2009
Maruti Wagon R VXI BS IV,409999,18500,Petrol,Manual,First Owner,20.51 kmpl,998 CC,5,2015
Mahindra TUV 300 T8,625000,120000,Diesel,Manual,First Owner,18.49 kmpl,1493 CC,7,2016
Renault KWID RXT,290000,15200,Petrol,Manual,First Owner,25.17 kmpl,799 CC,5,2015
Honda Mobilio V i VTEC,500000,35000,Petrol,Manual,First Owner,17.3 kmpl,1497 CC,7,2015
Hyundai Verna 1.6 SX,475000,80000,Diesel,Manual,First Owner,22.32 kmpl,1582 CC,5,2011
Hyundai EON Era Plus,190000,70000,Petrol,Manual,First Owner,21.1 kmpl,814 CC,5,2013
Mahindra XUV500 W6 2WD,750000,80000,Diesel,Manual,Second Owner,15.1 kmpl,2179 CC,7,2014
Nissan Terrano XV 110 PS,525000,120000,Diesel,Manual,Second Owner,19.01 kmpl,1461 CC,5,2014
Chevrolet Cruze LTZ,495000,82000,Diesel,Manual,Third Owner,17.3 kmpl,1998 CC,5,2012
Jaguar XE 2016-2019 2.0L Diesel Prestige,2625000,9000,Diesel,Automatic,First Owner,13.6 kmpl,1999 CC,5,2017
Lexus ES 300h,5150000,20000,Petrol,Automatic,First Owner,22.37 kmpl,2487 CC,5,2019
Jaguar XF 2.0 Diesel Portfolio,3200000,45000,Diesel,Automatic,First Owner,19.33 kmpl,1999 CC,5,2017
Tata Safari Storme EX,503000,110000,Diesel,Manual,First Owner,14.1 kmpl,2179 CC,7,2015
Volvo XC40 D4 Inscription BSIV,3800000,20000,Diesel,Automatic,First Owner,18.0 kmpl,1969 CC,5,2019
Toyota Camry 2.5 Hybrid,2000000,68089,Petrol,Automatic,First Owner,19.16 kmpl,2494 CC,5,2016
Maruti Wagon R LXI,225000,58343,Petrol,Manual,First Owner,21.79 kmpl,998 CC,5,2013
Maruti Baleno Alpha 1.3,740000,38817,Diesel,Manual,First Owner,27.39 kmpl,1248 CC,5,2018
Honda Jazz VX,550000,56494,Petrol,Manual,First Owner,18.2 kmpl,1199 CC,5,2016
Toyota Innova 2.5 VX (Diesel) 7 Seater,750000,79328,Diesel,Manual,Second Owner,12.99 kmpl,2494 CC,7,2013
Maruti Swift AMT VVT VXI,650000,5621,Petrol,Automatic,First Owner,22.0 kmpl,1197 CC,5,2019
Toyota Etios VX,625000,25538,Petrol,Manual,First Owner,16.78 kmpl,1496 CC,5,2017
Maruti Swift AMT ZXI,600000,69779,Petrol,Automatic,First Owner,22.0 kmpl,1197 CC,5,2018
Hyundai Grand i10 1.2 CRDi Sportz,450000,56290,Diesel,Manual,First Owner,24.0 kmpl,1186 CC,5,2017
BMW X4 M Sport X xDrive20d,5400000,7500,Diesel,Automatic,First Owner,16.78 kmpl,1995 CC,5,2019
BMW X4 M Sport X xDrive20d,5500000,8500,Diesel,Automatic,First Owner,16.78 kmpl,1995 CC,5,2019
Honda Amaze V CVT Petrol BSIV,779000,7032,Petrol,Automatic,First Owner,19.0 kmpl,1199 CC,5,2019
Skoda Rapid 1.6 MPI AT Elegance,645000,11000,Petrol,Automatic,First Owner,14.3 kmpl,1598 CC,5,2016
Volvo V40 D3 R-Design,2475000,2000,Diesel,Automatic,First Owner,16.8 kmpl,1984 CC,5,2018
Honda City 1.5 V AT,321000,60000,Petrol,Automatic,Second Owner,16.8 kmpl,1497 CC,5,2010
Toyota Etios Liva 1.2 V Dual Tone,585000,50000,Petrol,Manual,First Owner,17.71 kmpl,1197 CC,5,2017
Ford Figo Diesel EXI,225000,70000,Diesel,Manual,First Owner,20.0 kmpl,1399 CC,5,2011
Honda Amaze E i-DTEC,500000,70000,Diesel,Manual,First Owner,25.8 kmpl,1498 CC,5,2017
Hyundai i20 1.4 CRDi Asta,350000,90000,Diesel,Manual,Third Owner,23.0 kmpl,1396 CC,5,2011
Maruti Ertiga SHVS LDI Option,756000,70000,Diesel,Manual,Second Owner,24.52 kmpl,1248 CC,7,2016
Maruti Alto 800 VXI,240000,50000,Petrol,Manual,First Owner,22.74 kmpl,796 CC,5,2014
Maruti Omni 8 Seater BSII,80000,120000,Petrol,Manual,Second Owner,19.7 kmpl,796 CC,8,2012
Hyundai i20 Active S Petrol,800000,5000,Petrol,Manual,First Owner,17.19 kmpl,1197 CC,5,2019
Tata Hexa XE,1250000,25000,Diesel,Manual,First Owner,17.6 kmpl,2179 CC,7,2018
Mahindra Scorpio VLS 2.2 mHawk,320000,80000,Diesel,Manual,Third Owner,12.05 kmpl,2179 CC,7,2009
Hyundai Grand i10 Sportz,509999,25000,Petrol,Manual,First Owner,18.9 kmpl,1197 CC,5,2017
Tata Zest Quadrajet 1.3 75PS XE,650000,15000,Diesel,Manual,First Owner,22.95 kmpl,1248 CC,5,2019
Maruti Alto K10 2010-2014 VXI,210000,35000,Petrol,Manual,Second Owner,20.92 kmpl,998 CC,5,2011
Maruti Alto LXi,110000,80000,Petrol,Manual,Second Owner,19.7 kmpl,796 CC,5,2008
Tata Nexon 1.5 Revotorq XE,665000,25000,Diesel,Manual,First Owner,21.5 kmpl,1497 CC,5,2017
Volkswagen Ameo 1.5 TDI Comfortline,555000,52000,Diesel,Manual,First Owner,21.66 kmpl,1498 CC,5,2017
Volkswagen Ameo 1.5 TDI Comfortline,560000,52000,Diesel,Manual,First Owner,21.66 kmpl,1498 CC,5,2017
Mahindra KUV 100 mFALCON D75 K6 Plus,375000,80000,Diesel,Manual,First Owner,25.32 kmpl,1198 CC,6,2016
Maruti Swift VDI BSIV W ABS,290000,77000,Diesel,Manual,Second Owner,,,,2011
Toyota Fortuner 2.8 4WD AT BSIV,2950000,50000,Diesel,Automatic,First Owner,15.04 kmpl,2755 CC,7,2017
Maruti Swift Dzire VDI,605000,127000,Diesel,Manual,First Owner,28.4 kmpl,1248 CC,5,2017
Honda WR-V i-VTEC VX,720000,30000,Petrol,Manual,First Owner,17.5 kmpl,1199 CC,5,2017
Maruti Ertiga SHVS ZDI Plus,800000,70000,Diesel,Manual,First Owner,24.52 kmpl,1248 CC,7,2017
Mahindra XUV500 W10 2WD,1325000,54000,Diesel,Manual,First Owner,16.0 kmpl,2179 CC,7,2017
Mitsubishi Pajero 2.8 SFX BSIII Single Tone,625000,120000,Diesel,Manual,Second Owner,10.5 kmpl,2835 CC,6,2011
Hyundai i20 1.4 CRDi Sportz,350000,116500,Diesel,Manual,First Owner,23.0 kmpl,1396 CC,5,2011
Toyota Innova 2.5 G (Diesel) 8 Seater,600000,145000,Diesel,Manual,Second Owner,12.99 kmpl,2494 CC,8,2012
Hyundai i20 Sportz 1.2,300000,120000,Petrol,Manual,First Owner,18.5 kmpl,1197 CC,5,2012
Tata New Safari DICOR 2.2 VX 4x2 BS IV,240000,120000,Diesel,Manual,First Owner,13.93 kmpl,2179 CC,7,2011
Ford Figo 1.5D Trend MT,377000,80000,Diesel,Manual,First Owner,25.83 kmpl,1498 CC,5,2016
Maruti Ertiga VXI,450000,140000,Petrol,Manual,First Owner,16.02 kmpl,1373 CC,7,2013
Hyundai Verna Xi (Petrol),160000,100000,Petrol,Manual,Fourth & Above Owner,13.9 kmpl,1599 CC,5,2008
Hyundai Xcent 1.2 VTVT E,525000,100000,Petrol,Manual,First Owner,20.14 kmpl,1197 CC,5,2019
Toyota Innova 2.5 G (Diesel) 7 Seater BS IV,550000,168000,Diesel,Manual,Second Owner,12.8 kmpl,2494 CC,8,2011
Chevrolet Cruze LTZ,270000,120000,Diesel,Manual,Third Owner,18.3 kmpl,1991 CC,5,2010
Toyota Etios GD,570000,145000,Diesel,Manual,Second Owner,23.59 kmpl,1364 CC,5,2016
Ford Figo Diesel Titanium,225000,90000,Diesel,Manual,Second Owner,20.0 kmpl,1399 CC,5,2011
Hyundai Xcent 1.2 VTVT S,590000,90000,Petrol,Manual,First Owner,20.14 kmpl,1197 CC,5,2019
Jeep Compass 2.0 Longitude Option BSIV,1675000,80000,Diesel,Manual,First Owner,17.1 kmpl,1956 CC,5,2018
Ford Aspire Titanium BSIV,800000,33000,Petrol,Manual,First Owner,19.4 kmpl,1194 CC,5,2019
Chevrolet Sail 1.2 LS ABS,450000,13500,Petrol,Manual,First Owner,18.2 kmpl,1199 CC,5,2014
Tata Indigo LX,300000,80000,Diesel,Manual,First Owner,17.0 kmpl,1405 CC,5,2012
Hyundai i20 1.2 Spotz,645000,20000,Petrol,Manual,First Owner,18.6 kmpl,1197 CC,5,2017
Maruti Swift Dzire VDI,520000,58000,Diesel,Manual,First Owner,23.4 kmpl,1248 CC,5,2013
Hyundai EON Magna Plus,200000,40000,Petrol,Manual,First Owner,21.1 kmpl,814 CC,5,2013
Honda City i VTEC V,700000,30000,Petrol,Manual,First Owner,17.4 kmpl,1497 CC,5,2015
Maruti 800 AC,45000,50000,Petrol,Manual,Second Owner,16.1 kmpl,796 CC,4,2000
Ford Figo Aspire 1.5 TDCi Ambiente,459999,73000,Diesel,Manual,First Owner,25.83 kmpl,1498 CC,5,2016
Maruti Ritz VDi,325000,90000,Diesel,Manual,Second Owner,23.2 kmpl,1248 CC,5,2014
Maruti Wagon R VXI BS IV,350000,50000,Petrol,Manual,Second Owner,20.51 kmpl,998 CC,5,2015
Hyundai Verna 1.6 CRDI,440000,80000,Diesel,Manual,Third Owner,22.32 kmpl,1582 CC,5,2011
Hyundai i20 1.4 CRDi Magna,320000,70000,Diesel,Manual,Second Owner,21.9 kmpl,1396 CC,5,2011
Chevrolet Spark 1.0 LS,169000,41000,Petrol,Manual,First Owner,18.0 kmpl,995 CC,5,2011
Volkswagen Polo Petrol Comfortline 1.2L,350000,50000,Petrol,Manual,Fourth & Above Owner,16.47 kmpl,1198 CC,5,2013
Ford Classic 1.4 Duratorq Titanium,350000,113226,Diesel,Manual,First Owner,19.68 kmpl,1399 CC,5,2014
Ford Figo Diesel Celebration Edition,310000,90000,Diesel,Manual,Second Owner,20.0 kmpl,1399 CC,5,2013
Maruti Swift 1.3 VXi,150000,70000,Petrol,Manual,Third Owner,,,,2007
Mahindra Scorpio M2DI,420000,160500,Diesel,Manual,Fourth & Above Owner,13.5 kmpl,2179 CC,5,2010
Maruti Ciaz AT ZXi,685000,30000,Petrol,Automatic,First Owner,19.12 kmpl,1373 CC,5,2015
Renault Duster 4x4,560000,132000,Diesel,Manual,Second Owner,19.72 kmpl,1461 CC,5,2014
Maruti Swift VDI,470000,120000,Diesel,Manual,Third Owner,22.9 kmpl,1248 CC,5,2013
Hyundai Verna Transform VTVT,380000,80000,Petrol,Manual,Second Owner,16.2 kmpl,1599 CC,5,2011
Mahindra Scorpio 1.99 S6 Plus,670000,57000,Diesel,Manual,Second Owner,15.4 kmpl,1997 CC,7,2015
Maruti Swift Dzire LXI 1.2 BS IV,550000,5000,Petrol,Manual,First Owner,22.0 kmpl,1197 CC,5,2018
Hyundai Verna 1.6 VTVT SX,749000,25000,Petrol,Manual,First Owner,17.01 kmpl,1591 CC,5,2016
Hyundai Creta 1.6 CRDi SX Option,899000,80000,Diesel,Manual,Second Owner,19.67 kmpl,1582 CC,5,2015
Chevrolet Optra Magnum 2.0 LS BSIII,290000,88000,Diesel,Manual,Third Owner,16.52 kmpl,1991 CC,5,2011
Toyota Innova 2.5 VX (Diesel) 7 Seater,869999,217000,Diesel,Manual,Second Owner,12.99 kmpl,2494 CC,7,2014
Datsun GO Plus A,350000,60000,Petrol,Manual,First Owner,20.62 kmpl,1198 CC,7,2015
Maruti Swift Dzire VXI,500000,43000,Petrol,Manual,First Owner,20.85 kmpl,1197 CC,5,2017
Skoda Rapid 1.5 TDI AT Ambition Plus,400000,77000,Diesel,Automatic,Second Owner,21.66 kmpl,1498 CC,5,2014
Renault KWID RXT,260000,30000,Petrol,Manual,First Owner,25.17 kmpl,799 CC,5,2016
Maruti Alto 800 LXI,220000,40000,Petrol,Manual,Second Owner,22.74 kmpl,796 CC,5,2015
Chevrolet Enjoy TCDi LS 8 Seater,190000,139000,Diesel,Manual,Second Owner,18.2 kmpl,1248 CC,8,2014
Hyundai Grand i10 Magna,400000,80000,Petrol,Manual,First Owner,18.9 kmpl,1197 CC,5,2016
Chevrolet Beat Diesel LT Option,170000,76000,Diesel,Manual,Second Owner,25.44 kmpl,936 CC,5,2014
Hyundai Elite i20 Magna Plus BSIV,650000,3500,Petrol,Manual,First Owner,18.6 kmpl,1197 CC,5,2019
Maruti 800 AC BSIII,60000,62000,Petrol,Manual,Second Owner,16.1 kmpl,796 CC,4,2007
Tata New Safari 4X2,300000,110000,Petrol,Manual,Second Owner,12.0 kmpl,2092 CC,7,2007
Chevrolet Spark 1.0 LT,125000,40000,Petrol,Manual,Second Owner,16.2 kmpl,995 CC,5,2012
Tata Indica Vista Aqua 1.3 Quadrajet (ABS),130000,120000,Diesel,Manual,Second Owner,,,,2013
Mahindra XUV500 W6 2WD,500000,1500000,Diesel,Manual,First Owner,15.1 kmpl,2179 CC,7,2012
Maruti Alto LX,170000,70000,Petrol,Manual,Third Owner,19.7 kmpl,796 CC,5,2011
Maruti Swift Dzire LDi,310000,77000,Diesel,Manual,Second Owner,19.3 kmpl,1248 CC,5,2012
Chevrolet Spark 1.0 LT,130000,110000,Petrol,Manual,Second Owner,18.0 kmpl,995 CC,5,2011
Maruti Wagon R VXI Optional,465000,20000,Petrol,Manual,First Owner,20.51 kmpl,998 CC,5,2016
Mahindra Jeep MM 540,160000,90000,Diesel,Manual,Third Owner,,,,1995
Mercedes-Benz E-Class E270 CDI,800000,120005,Diesel,Automatic,Second Owner,11.0 kmpl,2987 CC,5,2005
Maruti Alto K10 Knightracer,260000,16830,Petrol,Manual,First Owner,20.2 kmpl,998 CC,5,2012
Mahindra Bolero 2011-2019 DI NON AC BS III SILVER,500000,70000,Diesel,Manual,First Owner,15.96 kmpl,2523 CC,9,2013
Renault KWID 1.0 RXT 02 Anniversary Edition,325000,38000,Petrol,Manual,First Owner,23.01 kmpl,999 CC,5,2017
Mahindra Bolero 2011-2019 DI NON AC BS III White,400000,80000,Diesel,Manual,First Owner,15.96 kmpl,2523 CC,9,2013
Toyota Fortuner 2.8 4WD MT BSIV,3200000,50000,Diesel,Manual,First Owner,14.24 kmpl,2755 CC,7,2018
Tata Indica V2 DLE BSIII,200000,50000,Diesel,Manual,First Owner,17.88 kmpl,1396 CC,5,2007
Mahindra Quanto C2,450000,52000,Diesel,Manual,First Owner,17.21 kmpl,1493 CC,7,2013
Tata Indigo V BSIII,229999,50000,Diesel,Manual,First Owner,17.0 kmpl,1405 CC,5,2012
Hyundai EON Magna Plus,340000,30000,Petrol,Manual,First Owner,21.1 kmpl,814 CC,5,2016
Mahindra Bolero 2011-2019 SLE BSIII,550000,103000,Diesel,Manual,First Owner,15.96 kmpl,2523 CC,7,2014
Ford Endeavour 3.0L 4X4 AT,975000,93468,Diesel,Automatic,Second Owner,11.4 kmpl,2953 CC,7,2011
Volvo XC40 D4 Inscription BSIV,3800000,20000,Diesel,Automatic,First Owner,18.0 kmpl,1969 CC,5,2019
Volkswagen Jetta 1.6 Trendline,225000,80000,Petrol,Manual,Second Owner,14.0 kmpl,1595 CC,5,2010
Ford Endeavour 3.2 Titanium AT 4X4,3250000,12000,Diesel,Automatic,First Owner,10.91 kmpl,3198 CC,7,2018
Tata Indigo eCS VX BSIV,280000,70000,Diesel,Manual,First Owner,25.0 kmpl,1396 CC,5,2013
Honda Amaze V Petrol BSIV,700000,4500,Petrol,Manual,First Owner,19.5 kmpl,1199 CC,5,2019
Tata Indigo CS eLX BS IV,259000,35000,Diesel,Manual,First Owner,23.03 kmpl,1396 CC,5,2012
Toyota Fortuner 2.8 4WD AT BSIV,3200000,60000,Diesel,Automatic,First Owner,15.04 kmpl,2755 CC,7,2018
Mahindra XUV500 W10 1.99 mHawk,1400000,30000,Diesel,Manual,First Owner,16.0 kmpl,1997 CC,7,2018
Ford Figo 1.5P Titanium AT,416000,40000,Petrol,Automatic,First Owner,17.01 kmpl,1499 CC,5,2015
Tata Manza ELAN Quadrajet BS III,250000,70000,Diesel,Manual,First Owner,19.0 kmpl,1248 CC,5,2011
Tata Manza Aura (ABS) Quadrajet BS IV,210000,120000,Diesel,Manual,First Owner,21.12 kmpl,1248 CC,5,2010
Mahindra Scorpio VLX 2WD BSIII,290000,120000,Diesel,Manual,Second Owner,12.05 kmpl,2179 CC,8,2008
Tata Indigo CS eLS BS IV,220000,90000,Diesel,Manual,First Owner,23.03 kmpl,1396 CC,5,2012
Tata Indigo eCS LX BSIV,246000,35000,Diesel,Manual,Second Owner,23.03 kmpl,1396 CC,5,2012
Maruti Omni E MPI STD BS IV,260000,30000,Petrol,Manual,First Owner,16.8 kmpl,796 CC,8,2018
Hyundai Creta 1.4 CRDi S,1050000,70000,Diesel,Manual,First Owner,21.38 kmpl,1396 CC,5,2018
Tata Manza Club Class Quadrajet90 LX,290000,60000,Diesel,Manual,First Owner,21.02 kmpl,1248 CC,5,2012
Tata Indigo eCS VX BSIV,310000,70000,Diesel,Manual,First Owner,25.0 kmpl,1396 CC,5,2013
Hyundai i20 1.2 Asta,700000,6000,Petrol,Manual,First Owner,18.6 kmpl,1197 CC,5,2018
Maruti Swift VXI Optional,550000,20000,Petrol,Manual,First Owner,20.4 kmpl,1197 CC,5,2016
Tata Indigo CS LX (TDI) BS-III,450000,70000,Diesel,Manual,First Owner,19.09 kmpl,1405 CC,5,2017
Honda City i VTEC VX,773000,65000,Petrol,Manual,First Owner,17.8 kmpl,1497 CC,5,2016
Tata Tiago 1.2 Revotron XZ,450000,25000,Petrol,Manual,First Owner,23.84 kmpl,1199 CC,5,2017
Maruti Eeco 5 Seater AC BSIV,409999,10000,Petrol,Manual,First Owner,15.37 kmpl,1196 CC,5,2019
Maruti 800 Std MPFi,45000,35000,Petrol,Manual,Fourth & Above Owner,16.1 kmpl,796 CC,4,2003
Nissan Teana XL,600000,80000,Petrol,Automatic,Second Owner,11.07 kmpl,2496 CC,5,2014
Chevrolet Beat LT,250000,63000,Petrol,Manual,First Owner,18.6 kmpl,1199 CC,5,2010
Tata Indica V2 DLS TC,70000,100000,Diesel,Manual,First Owner,16.8 kmpl,1405 CC,5,2008
Honda Amaze S i-VTEC,690000,1303,Petrol,Manual,First Owner,17.8 kmpl,1198 CC,5,2019
Audi Q5 35TDI Premium Plus,3975000,31800,Diesel,Automatic,First Owner,17.01 kmpl,1968 CC,5,2018
Lexus ES 300h,5150000,20000,Petrol,Automatic,First Owner,22.37 kmpl,2487 CC,5,2019
Jaguar XF 2.0 Diesel Portfolio,3200000,45000,Diesel,Automatic,First Owner,19.33 kmpl,1999 CC,5,2017
Jeep Wrangler 2016-2019 3.6 4X4,4100000,17000,Petrol,Automatic,First Owner,9.5 kmpl,3604 CC,5,2017
Toyota Yaris V BSIV,1000000,4295,Petrol,Manual,First Owner,17.1 kmpl,1496 CC,5,2018
Toyota Yaris V BSIV,1000000,5229,Petrol,Manual,First Owner,17.1 kmpl,1496 CC,5,2018
Toyota Camry 2.5 Hybrid,2000000,68089,Petrol,Automatic,First Owner,19.16 kmpl,2494 CC,5,2016
Maruti Ciaz 1.3 Alpha,925000,23712,Diesel,Manual,First Owner,28.09 kmpl,1248 CC,5,2018
Honda Jazz VX,550000,56494,Petrol,Manual,First Owner,18.2 kmpl,1199 CC,5,2016
Maruti Wagon R VXI BS IV,430000,16589,Petrol,Manual,First Owner,20.51 kmpl,998 CC,5,2018
Toyota Innova 2.5 VX (Diesel) 7 Seater,750000,79328,Diesel,Manual,Second Owner,12.99 kmpl,2494 CC,7,2013
Honda City i VTEC V,675000,53201,Petrol,Manual,Second Owner,17.8 kmpl,1497 CC,5,2016
Maruti Baleno Delta,570000,25272,Petrol,Manual,First Owner,21.01 kmpl,1197 CC,5,2017
Maruti Vitara Brezza ZDi Plus,850000,53619,Diesel,Manual,First Owner,24.3 kmpl,1248 CC,5,2017
BMW X4 M Sport X xDrive20d,5400000,7500,Diesel,Automatic,First Owner,16.78 kmpl,1995 CC,5,2019
BMW X4 M Sport X xDrive20d,5500000,8500,Diesel,Automatic,First Owner,16.78 kmpl,1995 CC,5,2019
Honda Amaze V CVT Petrol BSIV,779000,7032,Petrol,Automatic,First Owner,19.0 kmpl,1199 CC,5,2019
Ford Ecosport 1.5 Petrol Ambiente,640000,6001,Petrol,Manual,First Owner,15.9 kmpl,1496 CC,5,2018
Tata Indigo CS LS (TDI) BS-III,250000,80000,Diesel,Manual,First Owner,19.09 kmpl,1405 CC,5,2013
Renault Duster 110PS Diesel RxZ,1250000,12000,Diesel,Manual,First Owner,19.6 kmpl,1461 CC,5,2018
Ford EcoSport 1.5 Petrol Titanium BSIV,889000,25000,Petrol,Manual,First Owner,17.0 kmpl,1497 CC,5,2017
Hyundai i20 2015-2017 Asta Option 1.4 CRDi,750000,40000,Diesel,Manual,Second Owner,22.54 kmpl,1396 CC,5,2017
Maruti Swift Ldi BSIV,320000,130000,Diesel,Manual,Third Owner,17.8 kmpl,1248 CC,5,2010
Skoda Yeti Ambition 4WD,600000,202000,Diesel,Manual,First Owner,17.67 kmpl,1968 CC,5,2011
Maruti Ciaz S 1.3,1000000,40000,Diesel,Manual,First Owner,28.09 kmpl,1248 CC,5,2018
Maruti Zen LX,110000,70000,Petrol,Manual,Fourth & Above Owner,17.3 kmpl,993 CC,5,2000
Honda City 2017-2020 GXi,250000,120000,Petrol,Manual,Second Owner,17.7 kmpl,1497 CC,5,2008
Maruti Swift Dzire VDI,600000,60000,Diesel,Manual,First Owner,26.59 kmpl,1248 CC,5,2015
Maruti Zen Estilo LXI BS IV,165000,60000,Petrol,Manual,First Owner,19.0 kmpl,998 CC,5,2009
Maruti Alto LXI,118000,60000,Petrol,Manual,Second Owner,19.7 kmpl,796 CC,5,2004
Maruti Baleno Delta 1.3,700000,78000,Diesel,Manual,First Owner,27.39 kmpl,1248 CC,5,2016
Renault Duster 85PS Diesel RxL Optional,585000,80000,Diesel,Manual,Second Owner,20.46 kmpl,1461 CC,5,2013
Maruti Alto LXi,120000,120000,Petrol,Manual,Fourth & Above Owner,19.7 kmpl,796 CC,5,2006
Maruti 800 Std MPFi,65000,90000,Petrol,Manual,Fourth & Above Owner,16.1 kmpl,796 CC,4,2003
Maruti Alto LX,150000,100000,Petrol,Manual,Second Owner,19.7 kmpl,796 CC,5,2006
Maruti Alto Std,150000,70000,Petrol,Manual,Fourth & Above Owner,19.7 kmpl,796 CC,5,2009
Hyundai Accent VIVA CRDi,170000,160000,Diesel,Manual,Third Owner,13.1 kmpl,1493 CC,5,2004
Mahindra Scorpio 2.6 CRDe,250000,120000,Diesel,Manual,Third Owner,10.5 kmpl,2179 CC,8,2006
Hyundai Accent CRDi,100000,100000,Diesel,Manual,Third Owner,13.1 kmpl,1493 CC,5,2005
Maruti Ertiga VDI,599000,60000,Diesel,Manual,Second Owner,20.77 kmpl,1248 CC,7,2013
Chevrolet Cruze LTZ,250000,135000,Diesel,Manual,Third Owner,18.3 kmpl,1991 CC,5,2010
Maruti Swift VXI Optional,570000,90000,Petrol,Manual,First Owner,20.4 kmpl,1197 CC,5,2016
Volkswagen Polo Diesel Highline 1.2L,440000,75000,Diesel,Manual,Second Owner,22.07 kmpl,1199 CC,5,2013
Toyota Innova 2.5 E Diesel MS 7-seater,300000,185000,Diesel,Manual,Second Owner,11.4 kmpl,2494 CC,7,2005
Nissan Micra XV CVT,300000,71717,Petrol,Automatic,Second Owner,19.34 kmpl,1198 CC,5,2015
Mahindra Scorpio VLX 2WD ABS AT BSIII,500000,150000,Diesel,Automatic,Second Owner,11.79 kmpl,2179 CC,8,2011
Maruti Swift Dzire VDI,660000,55000,Diesel,Manual,First Owner,26.59 kmpl,1248 CC,5,2016
Ford Fiesta Classic 1.6 Duratec LXI,256000,90000,Petrol,Manual,Second Owner,15.3 kmpl,1596 CC,5,2012
Renault KWID 1.0 RXT Optional,409999,35000,Petrol,Manual,First Owner,23.01 kmpl,999 CC,5,2018
Toyota Fortuner 4x4 MT,1888000,120000,Diesel,Manual,Second Owner,12.55 kmpl,2982 CC,7,2015
